Site Code,Site Name,Country,Continent,Start Time,Day,Date,Time Step,Wind Direction,Wind Speed,Screen Temperature,Significant Weather,Relative Humidity,Visibility Range,Visibility Description,Wind Gust,Feels Like Temperature,UV Index,Precipitation Probability
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",0,"NNE",7,1,"(Black) Low-level cloud",66,"< 20000 m","Good",17,-2,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",3,"NE",8,1,"(White) Medium-level cloud",64,"< 20000 m","Good",17,-3,0,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",6,"NE",8,0,"Sunny intervals",71,"< 20000 m","Good",18,-4,1,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",9,"NE",10,2,"(White) Medium-level cloud",70,"< 20000 m","Good",21,-2,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",12,"ENE",11,3,"(White) Medium-level cloud",53,"< 20000 m","Good",26,0,2,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",15,"ENE",11,4,"(Black) Low-level cloud",48,"< 20000 m","Good",23,0,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",18,"ENE",10,2,"(Black) Low-level cloud",51,"< 20000 m","Good",23,-1,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",21,"NE",8,1,"Partly cloudy (Night)",61,"< 20000 m","Good",18,-2,0,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",24,"NNE",7,0,"Partly cloudy (Night)",69,"< 20000 m","Good",15,-3,0,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",27,"NNE",6,0,"(White) Medium-level cloud",84,"< 20000 m","Good",11,-3,0,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",30,"NNE",7,0,"(White) Medium-level cloud",80,"< 20000 m","Good",14,-3,1,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",33,"NE",10,2,"(White) Medium-level cloud",68,"< 40000 m","Very good",21,-2,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",36,"NE",11,5,"Sunny intervals",40,"< 40000 m","Very good",25,1,3,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",39,"NE",12,5,"(White) Medium-level cloud",43,"< 40000 m","Very good",26,2,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",42,"NE",10,3,"Sunny intervals",53,"< 40000 m","Very good",24,0,1,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",45,"NE",8,1,"Partly cloudy (Night)",61,"< 40000 m","Very good",19,-2,0,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",48,"NE",7,0,"Partly cloudy (Night)",75,"< 40000 m","Very good",16,-3,0,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",51,"NE",6,-1,"Partly cloudy (Night)",82,"< 40000 m","Very good",11,-4,0,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",54,"NE",6,-2,"Sunny intervals",86,"< 20000 m","Good",13,-5,1,5
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",57,"ENE",9,2,"(White) Medium-level cloud",73,"< 40000 m","Very good",18,-2,1,20
"352409","LONDON (352409)","ENGLAND","EUROPE","00:00","Wednesday","2013-03-27",60,"ENE",11,4,"(Black) Low-level cloud",59,"< 20000 m","Good",23,0,2,20
